,year,statefip,state_population
0,1990,1,400940.0
0,1991,1,403428.8
0,1992,1,405917.6
0,1993,1,408406.4
0,1994,1,410895.2
0,1995,1,413384.0
0,1996,1,415872.8
0,1997,1,418361.6
0,1998,1,420850.4
0,1999,1,423339.2
51,2000,1,425828.0
102,2001,1,380204.0
153,2002,1,365234.0
204,2003,1,367642.0
255,2004,1,376768.0
306,2005,1,389033.0
357,2006,1,405562.0
408,2007,1,427625.0
459,2008,1,412930.0
510,2009,1,425523.0
561,2010,1,413392.0
612,2011,1,434442.0
663,2012,1,405365.0
714,2013,1,401061.0
765,2014,1,411017.0
1,1990,2,45364.0
1,1991,2,46729.3
1,1992,2,48094.6
1,1993,2,49459.9
1,1994,2,50825.2
1,1995,2,52190.5
1,1996,2,53555.8
1,1997,2,54921.1
1,1998,2,56286.4
1,1999,2,57651.7
52,2000,2,59017.0
103,2001,2,52408.0
154,2002,2,49914.0
205,2003,2,54530.0
256,2004,2,57522.0
307,2005,2,62374.0
358,2006,2,63058.0
409,2007,2,68225.0
460,2008,2,66084.0
511,2009,2,63596.0
562,2010,2,67677.0
613,2011,2,72406.0
664,2012,2,62409.0
715,2013,2,65906.0
766,2014,2,66823.0
2,1990,4,350766.0
2,1991,4,365849.5
2,1992,4,380933.0
2,1993,4,396016.5
2,1994,4,411100.0
2,1995,4,426183.5
2,1996,4,441267.0
2,1997,4,456350.5
2,1998,4,471434.0
2,1999,4,486517.5
53,2000,4,501601.0
104,2001,4,456598.0
155,2002,4,484677.0
206,2003,4,515987.0
257,2004,4,501850.0
308,2005,4,523154.0
359,2006,4,520561.0
410,2007,4,512429.0
461,2008,4,495742.0
512,2009,4,506804.0
563,2010,4,564766.0
614,2011,4,557872.0
665,2012,4,556135.0
716,2013,4,537625.0
767,2014,4,573053.0
3,1990,5,213460.0
3,1991,5,217687.5
3,1992,5,221915.0
3,1993,5,226142.5
3,1994,5,230370.0
3,1995,5,234597.5
3,1996,5,238825.0
3,1997,5,243052.5
3,1998,5,247280.0
3,1999,5,251507.5
54,2000,5,255735.0
105,2001,5,222438.0
156,2002,5,244395.0
207,2003,5,238106.0
258,2004,5,242774.0
309,2005,5,240907.0
360,2006,5,249403.0
411,2007,5,252407.0
462,2008,5,258558.0
513,2009,5,254942.0
564,2010,5,251499.0
615,2011,5,250570.0
666,2012,5,254406.0
717,2013,5,253260.0
768,2014,5,249794.0
4,1990,6,3056822.0
4,1991,6,3079468.9
4,1992,6,3102115.8
4,1993,6,3124762.7
4,1994,6,3147409.6
4,1995,6,3170056.5
4,1996,6,3192703.4
4,1997,6,3215350.3
4,1998,6,3237997.2
4,1999,6,3260644.1
55,2000,6,3283291.0
106,2001,6,2905743.0
157,2002,6,2957405.0
208,2003,6,3059358.0
259,2004,6,3059835.0
310,2005,6,3157216.0
361,2006,6,3364873.0
412,2007,6,3386007.0
463,2008,6,3305713.0
514,2009,6,3436299.0
565,2010,6,3596637.0
616,2011,6,3472361.0
667,2012,6,3515787.0
718,2013,6,3527769.0
769,2014,6,3467262.0
5,1990,8,286275.0
5,1991,8,299899.4
5,1992,8,313523.8
5,1993,8,327148.2
5,1994,8,340772.6
5,1995,8,354397.0
5,1996,8,368021.4
5,1997,8,381645.8
5,1998,8,395270.2
5,1999,8,408894.6
56,2000,8,422519.0
107,2001,8,389607.0
158,2002,8,402164.0
209,2003,8,409760.0
260,2004,8,447468.0
311,2005,8,388704.0
362,2006,8,419076.0
413,2007,8,408660.0
464,2008,8,422742.0
515,2009,8,447743.0
566,2010,8,449102.0
617,2011,8,444614.0
668,2012,8,450051.0
719,2013,8,445856.0
770,2014,8,458115.0
6,1990,9,291886.0
6,1991,9,289598.1
6,1992,9,287310.2
6,1993,9,285022.3
6,1994,9,282734.4
6,1995,9,280446.5
6,1996,9,278158.6
6,1997,9,275870.7
6,1998,9,273582.8
6,1999,9,271294.9
57,2000,9,269007.0
108,2001,9,223295.0
159,2002,9,248151.0
210,2003,9,252449.0
261,2004,9,250916.0
312,2005,9,245227.0
363,2006,9,283257.0
414,2007,9,304695.0
465,2008,9,306313.0
516,2009,9,307131.0
567,2010,9,316085.0
618,2011,9,308769.0
669,2012,9,313789.0
720,2013,9,297899.0
771,2014,9,300850.0
7,1990,10,63880.0
7,1991,10,64791.9
7,1992,10,65703.8
7,1993,10,66615.7
7,1994,10,67527.6
7,1995,10,68439.5
7,1996,10,69351.4
7,1997,10,70263.3
7,1998,10,71175.2
7,1999,10,72087.1
58,2000,10,72999.0
109,2001,10,61223.0
160,2002,10,67732.0
211,2003,10,66307.0
262,2004,10,66736.0
313,2005,10,67768.0
364,2006,10,71741.0
415,2007,10,77635.0
466,2008,10,78096.0
517,2009,10,76353.0
568,2010,10,78768.0
619,2011,10,81324.0
670,2012,10,87709.0
721,2013,10,78725.0
772,2014,10,83279.0
8,1990,11,62106.0
8,1991,11,62993.9
8,1992,11,63881.8
8,1993,11,64769.7
8,1994,11,65657.6
8,1995,11,66545.5
8,1996,11,67433.4
8,1997,11,68321.3
8,1998,11,69209.2
8,1999,11,70097.1
59,2000,11,70985.0
110,2001,11,46634.0
161,2002,11,43612.0
212,2003,11,42257.0
263,2004,11,42141.0
314,2005,11,36877.0
365,2006,11,65611.0
416,2007,11,62084.0
467,2008,11,61995.0
518,2009,11,59924.0
569,2010,11,71462.0
620,2011,11,78238.0
671,2012,11,78321.0
722,2013,11,76663.0
773,2014,11,72946.0
9,1990,12,1093206.0
9,1991,12,1112467.0
9,1992,12,1131728.0
9,1993,12,1150989.0
9,1994,12,1170250.0
9,1995,12,1189511.0
9,1996,12,1208772.0
9,1997,12,1228033.0
9,1998,12,1247294.0
9,1999,12,1266555.0
60,2000,12,1285816.0
111,2001,12,1211808.0
162,2002,12,1204815.0
213,2003,12,1275803.0
264,2004,12,1307481.0
315,2005,12,1401883.0
366,2006,12,1464489.0
417,2007,12,1475294.0
468,2008,12,1383291.0
519,2009,12,1449174.0
570,2010,12,1453372.0
621,2011,12,1454345.0
672,2012,12,1402960.0
723,2013,12,1405703.0
774,2014,12,1409391.0
10,1990,13,648209.0
10,1991,13,663934.6
10,1992,13,679660.2
10,1993,13,695385.8
10,1994,13,711111.4
10,1995,13,726837.0
10,1996,13,742562.6
10,1997,13,758288.2
10,1998,13,774013.8
10,1999,13,789739.4
61,2000,13,805465.0
112,2001,13,683592.0
163,2002,13,680271.0
214,2003,13,703593.0
265,2004,13,725894.0
316,2005,13,747382.0
367,2006,13,837697.0
418,2007,13,821527.0
469,2008,13,822650.0
520,2009,13,875164.0
571,2010,13,854046.0
622,2011,13,851384.0
673,2012,13,860879.0
724,2013,13,851247.0
775,2014,13,842035.0
11,1990,15,100634.0
11,1991,15,101848.0
11,1992,15,103062.0
11,1993,15,104276.0
11,1994,15,105490.0
11,1995,15,106704.0
11,1996,15,107918.0
11,1997,15,109132.0
11,1998,15,110346.0
11,1999,15,111560.0
62,2000,15,112774.0
113,2001,15,96455.0
164,2002,15,99329.0
215,2003,15,99007.0
266,2004,15,101214.0
317,2005,15,105152.0
368,2006,15,112168.0
419,2007,15,109485.0
470,2008,15,126641.0
521,2009,15,119826.0
572,2010,15,116381.0
623,2011,15,118410.0
674,2012,15,121614.0
725,2013,15,116938.0
776,2014,15,121135.0
12,1990,16,86880.0
12,1991,16,91689.6
12,1992,16,96499.2
12,1993,16,101308.8
12,1994,16,106118.4
12,1995,16,110928.0
12,1996,16,115737.6
12,1997,16,120547.20000000001
12,1998,16,125356.8
12,1999,16,130166.4
63,2000,16,134976.0
114,2001,16,129157.0
165,2002,16,125611.0
216,2003,16,136165.0
267,2004,16,141827.0
318,2005,16,130836.0
369,2006,16,147209.0
420,2007,16,138809.0
471,2008,16,146940.0
522,2009,16,144027.0
573,2010,16,135059.0
624,2011,16,139580.0
675,2012,16,140887.0
726,2013,16,142722.0
777,2014,16,134171.0
13,1990,17,1057518.0
13,1991,17,1069017.3
13,1992,17,1080516.6
13,1993,17,1092015.9
13,1994,17,1103515.2
13,1995,17,1115014.5
13,1996,17,1126513.8
13,1997,17,1138013.1
13,1998,17,1149512.4
13,1999,17,1161011.7
64,2000,17,1172511.0
115,2001,17,1031743.0
166,2002,17,1015853.0
217,2003,17,1018600.0
268,2004,17,1056705.0
319,2005,17,1051512.0
370,2006,17,1128260.0
421,2007,17,1187794.0
472,2008,17,1183828.0
523,2009,17,1195404.0
574,2010,17,1156453.0
625,2011,17,1106705.0
676,2012,17,1155852.0
727,2013,17,1127430.0
778,2014,17,1111778.0
14,1990,18,515502.0
14,1991,18,523696.7
14,1992,18,531891.4
14,1993,18,540086.1
14,1994,18,548280.8
14,1995,18,556475.5
14,1996,18,564670.2
14,1997,18,572864.9
14,1998,18,581059.6
14,1999,18,589254.3
65,2000,18,597449.0
116,2001,18,527937.0
167,2002,18,528014.0
218,2003,18,529480.0
269,2004,18,549900.0
320,2005,18,529778.0
371,2006,18,589360.0
422,2007,18,600312.0
473,2008,18,592443.0
524,2009,18,620002.0
575,2010,18,613253.0
626,2011,18,600161.0
677,2012,18,610496.0
728,2013,18,604108.0
779,2014,18,609769.0
15,1990,19,235446.0
15,1991,19,241072.1
15,1992,19,246698.2
15,1993,19,252324.3
15,1994,19,257950.4
15,1995,19,263576.5
15,1996,19,269202.6
15,1997,19,274828.7
