state,fips,year,unemployment,state_full
AL,1,1990,6.8,Alabama
AK,2,1990,7.2,Alaska
AZ,4,1990,5.3,Arizona
AR,5,1990,6.9,Arkansas
CA,6,1990,5.8,California
CO,8,1990,5.2,Colorado
CT,9,1990,5.1,Connecticut
DE,10,1990,4.7,Delaware
DC,11,1990,6.3,District of Columbia
FL,12,1990,6.1,Florida
GA,13,1990,5.5,Georgia
HI,15,1990,2.7,Hawaii
ID,16,1990,5.5,Idaho
IL,17,1990,6.1,Illinois
IN,18,1990,5.3,Indiana
IA,19,1990,4.4,Iowa
KS,20,1990,4.3,Kansas
KY,21,1990,6,Kentucky
LA,22,1990,6.2,Louisiana
ME,23,1990,5.3,Maine
MD,24,1990,4.5,Maryland
MA,25,1990,6.3,Massachusetts
MI,26,1990,7.6,Michigan
MN,27,1990,4.8,Minnesota
MS,28,1990,7.6,Mississippi
MO,29,1990,5.8,Missouri
MT,30,1990,6,Montana
NE,31,1990,2.3,Nebraska
NV,32,1990,4.7,Nevada
NH,33,1990,5.7,New Hampshire
NJ,34,1990,5,New Jersey
NM,35,1990,6.6,New Mexico
NY,36,1990,5.3,New York
NC,37,1990,4.1,North Carolina
ND,38,1990,4,North Dakota
OH,39,1990,5.6,Ohio
OK,40,1990,5.7,Oklahoma
OR,41,1990,5.5,Oregon
PA,42,1990,5.5,Pennsylvania
RI,44,1990,6.3,Rhode Island
SC,45,1990,4.8,South Carolina
SD,46,1990,3.8,South Dakota
TN,47,1990,5.3,Tennessee
TX,48,1990,6.3,Texas
UT,49,1990,4.4,Utah
VT,50,1990,5,Vermont
VA,51,1990,4.5,Virginia
WA,53,1990,5.2,Washington
WV,54,1990,8.5,West Virginia
WI,55,1990,4.4,Wisconsin
WY,56,1990,5.3,Wyoming
AL,1,1991,7.3,Alabama
AK,2,1991,8.5,Alaska
AZ,4,1991,5.9,Arizona
AR,5,1991,7.4,Arkansas
CA,6,1991,7.7,California
CO,8,1991,5.3,Colorado
CT,9,1991,6.5,Connecticut
DE,10,1991,6.2,Delaware
DC,11,1991,7.8,District of Columbia
FL,12,1991,7.5,Florida
GA,13,1991,5.2,Georgia
HI,15,1991,2.9,Hawaii
ID,16,1991,6.2,Idaho
IL,17,1991,7.3,Illinois
IN,18,1991,6,Indiana
IA,19,1991,4.7,Iowa
KS,20,1991,4.4,Kansas
KY,21,1991,7.3,Kentucky
LA,22,1991,7.3,Louisiana
ME,23,1991,7.5,Maine
MD,24,1991,6.1,Maryland
MA,25,1991,8.6,Massachusetts
MI,26,1991,9.2,Michigan
MN,27,1991,5.1,Minnesota
MS,28,1991,8.5,Mississippi
MO,29,1991,6.6,Missouri
MT,30,1991,6.9,Montana
NE,31,1991,2.7,Nebraska
NV,32,1991,5.8,Nevada
NH,33,1991,7.3,New Hampshire
NJ,34,1991,6.7,New Jersey
NM,35,1991,7.1,New Mexico
NY,36,1991,7.2,New York
NC,37,1991,5.8,North Carolina
ND,38,1991,4.4,North Dakota
OH,39,1991,6.5,Ohio
OK,40,1991,6.3,Oklahoma
OR,41,1991,6.4,Oregon
PA,42,1991,7,Pennsylvania
RI,44,1991,8.6,Rhode Island
SC,45,1991,6.1,South Carolina
SD,46,1991,3.5,South Dakota
TN,47,1991,6.8,Tennessee
TX,48,1991,6.9,Texas
UT,49,1991,4.7,Utah
VT,50,1991,6.6,Vermont
VA,51,1991,5.9,Virginia
WA,53,1991,6.3,Washington
WV,54,1991,10.6,West Virginia
WI,55,1991,5.5,Wisconsin
WY,56,1991,5.2,Wyoming
AL,1,1992,7.6,Alabama
AK,2,1992,8.9,Alaska
AZ,4,1992,7.5,Arizona
AR,5,1992,7.1,Arkansas
CA,6,1992,9.3,California
CO,8,1992,6,Colorado
CT,9,1992,7.6,Connecticut
DE,10,1992,5.4,Delaware
DC,11,1992,8.6,District of Columbia
FL,12,1992,8.2,Florida
GA,13,1992,6.9,Georgia
HI,15,1992,4.3,Hawaii
ID,16,1992,6.4,Idaho
IL,17,1992,7.9,Illinois
IN,18,1992,6.6,Indiana
IA,19,1992,4.5,Iowa
KS,20,1992,4.5,Kansas
KY,21,1992,6.9,Kentucky
LA,22,1992,8,Louisiana
ME,23,1992,7.3,Maine
MD,24,1992,6.8,Maryland
MA,25,1992,8.5,Massachusetts
MI,26,1992,9,Michigan
MN,27,1992,5.1,Minnesota
MS,28,1992,8.1,Mississippi
MO,29,1992,6.2,Missouri
MT,30,1992,6.7,Montana
NE,31,1992,2.9,Nebraska
NV,32,1992,6.7,Nevada
NH,33,1992,7.3,New Hampshire
NJ,34,1992,8.4,New Jersey
NM,35,1992,7.2,New Mexico
NY,36,1992,8.6,New York
NC,37,1992,6,North Carolina
ND,38,1992,4.7,North Dakota
OH,39,1992,7.4,Ohio
OK,40,1992,6,Oklahoma
OR,41,1992,7.4,Oregon
PA,42,1992,7.6,Pennsylvania
RI,44,1992,8.9,Rhode Island
SC,45,1992,6.7,South Carolina
SD,46,1992,3.3,South Dakota
TN,47,1992,6.5,Tennessee
TX,48,1992,7.6,Texas
UT,49,1992,4.8,Utah
VT,50,1992,6.1,Vermont
VA,51,1992,6.3,Virginia
WA,53,1992,7.3,Washington
WV,54,1992,11.3,West Virginia
WI,55,1992,5.1,Wisconsin
WY,56,1992,5.6,Wyoming
AL,1,1993,7.3,Alabama
AK,2,1993,7.7,Alaska
AZ,4,1993,6.4,Arizona
AR,5,1993,6.1,Arkansas
CA,6,1993,9.5,California
CO,8,1993,5.3,Colorado
CT,9,1993,6.6,Connecticut
DE,10,1993,5.1,Delaware
DC,11,1993,8.5,District of Columbia
FL,12,1993,7.1,Florida
GA,13,1993,6,Georgia
HI,15,1993,4.5,Hawaii
ID,16,1993,6,Idaho
IL,17,1993,7.4,Illinois
IN,18,1993,5.4,Indiana
IA,19,1993,4,Iowa
